entryid,gridref,datestamp,transcription
57e10cc22c66dcf84f0000ca,SRID=4326;POINT(-0.115699768066406 51.5101847924382),2016-09-20 12:40:13.821+00,"{Strand,Strand}"
57e10cca2c66dcf84f0000cc,SRID=4326;POINT(-0.102696418762207 51.5091698216777),2016-09-20 12:40:28.719+00,"{London,London}"
57e10cd72c66dcf84f0000ce,SRID=4326;POINT(-0.0834059715270996 51.5084219340168),2016-09-20 12:41:08.242+00,"{""Custom House"",""Custom House""}"
57e10cdf2c66dcf84f0000d0,SRID=4326;POINT(-0.0905942916870117 51.5077408113585),2016-09-20 12:40:39.199+00,"{""London Bridge"",""London Bridge""}"
57e10cea2c66dcf84f0000d2,SRID=4326;POINT(-0.0899934768676758 51.5073267906493),2016-09-20 12:40:52.969+00,"{""Hibernia Wharf"",""Hibernia Wharf""}"
57e10cf42c66dcf84f0000d4,SRID=4326;POINT(-0.0868391990661621 51.5044151839257),2016-09-23 13:02:11.521+00,"{""London Br Station"",""London Br. Station"",""London Br. Station""}"
57e10cfd2c66dcf84f0000d6,SRID=4326;POINT(-0.0984477996826172 51.5035737216419),2016-09-20 12:41:30.417+00,"{Southwark,Southwark}"
57e10d1d2c66dcf84f0000de,SRID=4326;POINT(-0.118467807769775 51.5165144945361),2016-09-26 16:03:58.752+00,"{Finsbury,Finsbury,FINSBURY}"
57e10d262c66dcf84f0000e1,SRID=4326;POINT(-0.0995206832885742 51.5136568898354),2016-09-23 10:54:35.938+00,"{CATHEDRAL,Cathedral}"
57e12e872c66dcf84f000366,SRID=4326;POINT(-0.0551247596740723 51.5088492998977),2016-09-23 13:03:46.547+00,"{Shadwell,SHADWELL}"
57e12e912c66dcf84f000368,SRID=4326;POINT(-0.0541806221008301 51.508582196692),2016-09-23 13:03:54.367+00,"{""Shadwell New Basin"",""SHADWELL NEW BASIN""}"
57e12e972c66dcf84f00036a,SRID=4326;POINT(-0.046391487121582 51.5081147623138),2016-09-23 13:03:37.688+00,"{""Lower Pool"",""Lower Pool""}"
57e3dcaf2c66dca40800008c,SRID=4326;POINT(-0.0769579410552979 51.5082216048802),2016-09-23 13:02:24.223+00,"{""The Tower"",""The Tower""}"
57e3dcb82c66dca40800008e,SRID=4326;POINT(-0.0775802135467529 51.5087624915276),2016-09-23 16:40:09.369+00,"{""The Ditch"",""The Ditch"",""The Ditch""}"
57e3dcc32c66dca408000090,SRID=4326;POINT(-0.0803160667419434 51.5076606786117),2016-09-23 16:39:55.118+00,"{""Tower Stairs"",""Tower Stairs"",""Tower Stairs""}"
57e3dcd12c66dca408000092,SRID=4326;POINT(-0.0797152519226074 51.5072199459846),2016-09-23 16:40:03.677+00,"{""The Queen's Stairs"",""The Queen's Stairs"",""The Queen's Stairs""}"
57e3dd0c2c66dca408000094,SRID=4326;POINT(-0.0856697559356689 51.5078342993851),2016-09-23 13:03:23.668+00,"{""Site of Old London Bridge A.D. 1209"",""Site of Old London Bridge A.D. 1209""}"
57e50ce32c66dc43f40007d4,SRID=4326;POINT(0.0423789024353027 51.4883378960934),2016-09-23 11:40:00.175+00,"{""Hanging Wood"",""Hanging Wood""}"
57e50cfc2c66dc43f40007dc,SRID=4326;POINT(0.043644905090332 51.4897808755966),2016-09-23 11:39:52.189+00,"{""MARYON PARK"",""Maryon Park""}"
57e50d2b2c66dc43f40007ee,SRID=4326;POINT(0.0413060188293457 51.4922859398778),2016-09-23 11:40:10.157+00,"{""CHARLTON VALE"",""Charlton Vale""}"
57e50ed92c66dc43f400088e,SRID=4326;POINT(0.0198483467102051 51.4739657332469),2016-09-26 16:14:36.981+00,"{""Union By."",""Union By.""}"
57e50ee02c66dc43f4000892,SRID=4326;POINT(0.016930103302002 51.4724687901557),2016-09-26 16:19:27.465+00,"{KIDBROOKE,KIDBROOKE}"
57e50ee62c66dc43f4000894,SRID=4326;POINT(0.016779899597168 51.4718940578834),2016-09-26 16:19:16.523+00,"{KIDBROOKE,KIDBROOKE}"
57e50ef12c66dc43f4000896,SRID=4326;POINT(0.00888347625732422 51.4739256371972),2016-09-25 05:27:55.332+00,"{""Old Gravel Pits"",""Old Gravel Pits""}"
57e50efa2c66dc43f400089a,SRID=4326;POINT(0.0014805793762207 51.4709049667884),2016-09-25 05:39:17.33+00,"{""BLACK HEATH"",""BLACK HEATH""}"
57e50f032c66dc43f400089e,SRID=4326;POINT(0.00506401062011719 51.4678172606903),2016-09-25 05:32:36.575+00,"{BLACKHEATH,BLACKHEATH}"
57e50f0a2c66dc43f40008a0,SRID=4326;POINT(0.00530004501342773 51.4698222884398),2016-09-25 05:30:28.186+00,"{""Talbot Place"",""Talbot Place""}"
57e50f172c66dc43f40008a6,SRID=4326;POINT(0.00120162963867188 51.4699158542496),2016-09-25 05:29:54.293+00,"{""Heath Hill House"",""Heath Hill House""}"
57e50f1c2c66dc43f40008a8,SRID=4326;POINT(0.00227451324462891 51.4694212899387),2016-09-25 05:29:47.167+00,"{School,School}"
57e50f212c66dc43f40008aa,SRID=4326;POINT(0.00345468521118164 51.4700094198675),2016-09-25 05:39:43.5+00,"{""Mill House"",""Mill House""}"
57e50f2b2c66dc43f40008ae,SRID=4326;POINT(0.00122308731079102 51.4705574432048),2016-09-25 05:30:04.414+00,"{""Whitfield's Mound"",""Whitfield's Mound""}"
57e50f372c66dc43f40008b6,SRID=4326;POINT(0.00710248947143555 51.4686192823634),2016-11-04 15:51:58.884+00,"{""All Saint's Church"",""All Saints' Church"",""All Saints' Church""}"
57e50f3e2c66dc43f40008b8,SRID=4326;POINT(0.0108575820922852 51.4696618894623),2016-09-25 05:40:25.251+00,"{""SOUTH ROW"",""SOUTH ROW""}"
57e50f482c66dc43f40008bc,SRID=4326;POINT(0.00390529632568359 51.4676167530692),2016-09-25 05:33:24.424+00,"{""Grote's Place"",""Grote's Place""}"
57e50f6b2c66dc43f40008ca,SRID=4326;POINT(0.00502109527587891 51.4694613899474),2016-09-25 05:40:00.881+00,"{Vicarage,Vicarage}"
57e50f782c66dc43f40008ce,SRID=4326;POINT(0.00508546829223633 51.4691940558904),2016-09-25 05:39:53.332+00,"{""BLACKHEATH VALE"",""BLACKHEATH VALE""}"
57e50f892c66dc43f40008d4,SRID=4326;POINT(0.0139045715332031 51.469528223217),2016-10-03 15:43:54.814+00,"{""THE PARAGON"",""The Paragon""}"
57e50f932c66dc75ba000003,SRID=4326;POINT(0.0148916244506836 51.4700762523343),2016-10-03 15:43:35.855+00,"{""Kidbrook Lodge"",""Kidbrook Lodge""}"
57e50f982c66dc43f40008d9,SRID=4326;POINT(0.0141191482543945 51.4719876194444),2016-09-25 05:31:45.51+00,"{Chapel,Chapel}"
